productID,model,color,gpu,cpu,ram,harddisk,OS,special_features,price
804,Lenovo Legion 7 15.6 Inches,,"Dedicated, NVIDIA GeForce RTX 2070 Max-Q",Core i7 / 2.6 GHz, 16 GB,512 GB,Windows 10 Home,,2499.00
805,LENOVO THINKBOOK 14S YOGA G2 IAP 14 INCHES,,"IRIS XE GRAPHICS, INTEL IRIS XE GRAPHICS",CORE I5,16 GB ,256 GB,WINDOWS 11,INFORMATION NOT AVAILABLE,1149.18
806,HP OMEN 16T-N000 16.1 INCHES,MICA SILVER,DEDICATED,RYZEN 7, 48 GB,2 TB,WINDOWS 10 HOME,"HD AUDIO, BACKLIT KEYBOARD, ANTI GLARE COATING, MEMORY CARD SLOT",1829.00
807,DELL LATITUDE 5520 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I7, 16 GB,2000 GB,WINDOWS 11 HOME,WIFI & BLUETOOTH,1816.99
808,HP EliteBook 650 G9 15.6 Inches,,"Iris Xe Graphics, Intel Iris Xe Graphics",Core i5,16 GB,256 GB,Windows 10 Pro,Anti-glare Screen,939.19
809,Dell XPS 9520 Laptop 15.6 Inches,Platinum Silver,"Dedicated, NVIDIA GeForce RTX 3050",Core i7 / 3.5 GHz,,1000 GB,Windows 10 Pro,,1681.99
810,GIZPRO HP ELITEBOOK 14 INCHES,BLACK,INTEGRATED,CORE I7,32 GB ,256 GB,WINDOWS 10 PRO,ANTI-GLARE,2699.00
811,Dell Latitude 5530 Laptop 15.6 Inches,Black,Nvidia GeForce MX250,Core i7,16 GB,256 GB,Windows 11 Pro,Wifi & Bluetooth,1929.99
812,Dell Latitude 5520 Laptop 15.6 Inches,Black,Integrated,Core i7,64 GB,4000 GB,Windows 11 Home,Wifi & Bluetooth,2912.99
813,ASUS ZENBOOK PRO 15.6 INCHES,BLACK,DEDICATED,CORE I7, 8 GB,256 GB,WINDOWS 10 PRO,FINGERPRINT,1499.00
814,Dell Latitude 15.6 Inches,,"Integrated, Intel",Core i7,16 GB ,512 GB,Windows 11 Pro,Anti-glare Screen,1109.18
815,Dell XPS 9530 Laptop 15.6 Inches,Platinum Silver,Nvidia GeForce RTX 4050,Core i7,64 GB ,2000 GB,Windows 11 Home,Wifi & Bluetooth,2636.99
816,DELL LATITUDE 3520 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I5,64 GB,2000 GB,WINDOWS 11 HOME,WIFI & BLUETOOTH,1132.87
817,LENOVO THINKBOOK 13S G4 IAP 13.3 INCHES,ARCTIC GREY,INTEGRATED,CORE I7 FAMILY,16 GB,2 TB,WINDOWS 11 HOME,"FINGERPRINT READER, HD AUDIO, BACKLIT KEYBOARD",1079.00
818,Dell Alienware m15 R5 Ryzen Edition Laptop 15.6 Inches,Dark Side of the Moon,Nvidia GeForce RTX 3060,AMD Ryzen 7,16 GB ,512 GB,Windows 11 Home,Wifi & Bluetooth,1497.99
819,DELL ALIENWARE M18 LAPTOP 18 INCHES,BLACK,NVIDIA GEFORCE RTX 4090,CORE I9, 64 GB,4000 GB,WINDOWS 11 PRO,WIFI & BLUETOOTH,4143.99
820,Dell Precision 7560 Laptop 15.6 Inches,Silver,Nvidia T1200,Core i7,16 GB ,512 GB,Windows 10 Home,Wifi & Bluetooth,2219.99
821,Lenovo 15.6 Inches,Gray,"Dedicated, NVIDIA GeForce GTX 1650",Core i7,16 GB,512 GB,Windows 10,Fingerprint Reader,2699.00
822,Dell Latitude 9420 Laptop 14 Inches,Black,Integrated,Core i5, 16 GB,256 GB,Windows 10 Home,Wifi & Bluetooth,708.99
823,Dell Latitude 5440 Laptop 14 Inches,Black,Dedicated,Core i7, 32 GB,256 GB,Windows 11 Home,Wifi & Bluetooth,1589.67
824,DELL LATITUDE 5530 LAPTOP 15.6 INCHES,BLACK,"INTEGRATED, INTEL INTEGRATED GRAPHICS",CORE I7,64 GB,1000 GB,WINDOWS 11 PRO,,1718.99
825,HP HP 15 SCARLET RED 15.6 INCHES,SILVER,"INTEGRATED, INTEL UHD GRAPHICS",CELERON,16 GB,1 TB,WINDOWS 11 HOME,,469.00
826,Dell XPS 9530 Laptop 15.6 Inches,Platinum Silver,"Integrated, NVIDIA GeForce RTX 4070",Core i9, 64 GB,1000 GB,Windows 11 Pro,,3351.99
827,DELL PRECISION 7770 LAPTOP 17.3 INCHES,SILVER,NVIDIA RTX A3000,CORE I7,64 GB,1000 GB,WINDOWS 11 HOME,WIFI & BLUETOOTH,3431.25
828,ASUS ZEPHYRUS DUO 16 INCHES,BLACK,DEDICATED,RYZEN 9, 32 GB,2 TB,WINDOWS 11 PRO,ANTI GLARE COATING,3849.99
829,Dell Latitude 5520 Laptop 15.6 Inches,Black,Integrated,Core i5, 32 GB,512 GB,Windows 11 Home,Wifi & Bluetooth,1811.99
830,ASUS 14 INCHES,ROSE GOLD,"INTEGRATED, INTEL UHD GRAPHICS 600",CELERON N4020,4 GB,320 GB,WINDOWS 11,NARROW BEZEL,324.37
831,Dell Vostro 7620 16 Inches,Black,Dedicated,Core i7 Family,8 GB,2 TB,Windows 11 Pro,"Fingerprint Reader, Backlit Keyboard, Anti Glare Coating, Memory Card Slot, Numeric Keypad",1421.99
832,Dell Latitude 9520 Laptop 15 Inches,Black,Integrated,Core i5,8 GB,128 GB,Windows 10 Home,Wifi & Bluetooth,1021.99
833,Dell Dell Precision 13.4 Inches,,"Integrated, XPS9300-7909SLV-PUS",Core i7 Family, 16 GB,1 TB,Windows 10 Pro,Fingerprint,1101.49
834,DELL XPS 9320 LAPTOP 13.4 INCHES,SILVER,"INTEGRATED, INTEL INTEGRATED GRAPHICS",CORE I7,32 GB,2000 GB,WINDOWS 11 PRO,,1350.99
835,DELL N8P7J 15.6 INCHES,,"INTEGRATED, INTEL UHD GRAPHICS 620",INTEL CORE I5 / 1.7 GHZ,16 GB,512 GB,WINDOWS 10 PRO,,890.77
836,Dell Precision 3000,Black,Unknown,Core i7,16 GB,,Windows 10 Pro,Microphone,1790.16
837,LENOVO LENOVO LEGION 15.6 INCHES,PHANTOM BLUE,"DEDICATED, NVIDIA GEFORCE RTX 3050 TI",CORE I7 11800H,32 GB,1 TB,WINDOWS 11 HOME,,2299.00
838,DELL DELL INSPIRON 16 5625 16 INCHES,SILVER,"INTEGRATED, AMD RADEON GRAPHICS",AMD RYZEN 7, 64 GB,1000 GB,WINDOWS 11 PRO,,1006.99
839,Dell Latitude 3520 Laptop 15.6 Inches,Black,Integrated,Core i7,16 GB,4000 GB,Windows 10 Home,Wifi & Bluetooth,1958.99
840,Dell Latitude 3520 Laptop 15.6 Inches,Black,Integrated,Core i5,32 GB ,4000 GB,Windows 11 Home,Wifi & Bluetooth,1218.46
841,Dell Latitude 7320 Laptop 13.3 Inches,Black,Integrated,Core i7,32 GB,1000 GB,Windows 11 Pro,Wifi & Bluetooth,966.99
842,Apple,,Dedicated,Unknown, 32 GB,2 TB,Mac OS,,3699.00
843,HP HP ProBook 15.6 Inches,,Integrated,Unknown,8 GB ,,,,1999.00
844,MSI GS76 STEALTH 11UE-623 17.3 INCHES,CORE BLACK,DEDICATED,CORE I7,16 GB,512 GB,MICROSOFT WINDOWS 10 PROFESSIONAL (64BIT),"KILLER WIFI 6E AX1675 (2X2 ), STEEL SERIES PER-KEY RGB WITH ANTI-GHOST KEY (84 KEY)",1989.33
845,LENOVO THINKPAD L15 GEN 3 15.6 INCHES,,"UHD GRAPHICS, INTEL UHD GRAPHICS",CORE I5,8 GB,256 GB,WINDOWS 11,ANTI-GLARE SCREEN,1188.20
846,ACER PT516-52S-73YD 16 INCHES,GRAY,DEDICATED,CORE I7, 16 GB,1 TB,WINDOWS 11 HOME,ANTI GLARE COATING,1849.00
847,Lenovo ThinkPad L13 Yoga Gen 3 13.3 Inches,,"Iris Xe Graphics, Intel Iris Xe Graphics",Core i7, 16 GB,256 GB,Windows 11,Information Not Available,1419.99
848,Dell Precision 7780 Laptop 17 Inches,Silver,Integrated,Core i9,128 GB,32 GB,Windows 11 Pro,Wifi & Bluetooth,4618.00
849,LENOVO THINKPAD E14 GEN 4 14 INCHES,,"RADEON GRAPHICS, AMD RADEON GRAPHICS",RYZEN 5, 16 GB,256 GB,WINDOWS 11,ANTI-GLARE SCREEN,729.99
850,DELL LATITUDE 7420 LAPTOP 14 INCHES,BLACK,INTEGRATED,CORE I7, 16 GB,2000 GB,WINDOWS 10 HOME,WIFI & BLUETOOTH,886.99
851,DELL PRECISION 7770 LAPTOP 17.3 INCHES,SILVER,"DEDICATED, NVIDIA RTX A3000",CORE I7,32 GB,1000 GB,WINDOWS 11 PRO,,1689.18
852,DELL ALIENWARE M16 RYZEN EDITION LAPTOP 16 INCHES,SILVER,AMD RADEON RX 7600,AMD RYZEN 7, 16 GB,1000 GB,WINDOWS 11 PRO,WIFI & BLUETOOTH,1811.42
853,Dell 15.6 Inches,Red,"Dedicated, NVIDIA GeForce GTX 1050 Ti",Intel Core i7-5850HQ,8 GB,1 TB,Windows 10,"Anti-glare,Backlit Keyboard",799.00
854,DELL LATITUDE 5520 15.6 INCHES,,"INTEGRATED, INTEGRATED INTEL GRAPHICS",CORE I5 FAMILY,16 GB,256 GB,WINDOWS 10 PRO,ANTI-GLARE,878.37
855,DELL LATITUDE 5000 14 INCHES,GRAY,IRIS XE GRAPHICS,CORE I5, 16 GB,256 GB,WINDOWS 10 PRO,ANTI-GLARE SCREEN,876.02
856,MSI SUMMIT E15 A11SCST-461 15.6 INCHES,INK BLACK,DEDICATED,CORE I7 FAMILY,16 GB,1 TB,WINDOWS 10 PRO,THIN BEZEL,1799.00
857,Lenovo ThinkPad Z16 Gen 1 16 Inches,Black,Radeon 680M Graphics,Ryzen 7, 16 GB,512 GB,Windows 11 Pro,Information Not Available,1449.99
858,DELL LATITUDE 5430 LAPTOP 14 INCHES,BLACK,"INTEGRATED, INTEL INTEGRATED GRAPHICS",CORE I7,16 GB,1000 GB,WINDOWS 11 PRO,,1096.99
859,Lenovo Lenovo ThinkPad T14 14 Inches,Black,Integrated,Core i7 Family, 16 GB,1 TB,Windows 11 Pro,"Fingerprint Reader, Backlit Keyboard",1199.99
860,Dell G7500-7194BLK-PUS 15.6 Inches,Black,"Integrated, NVIDIA GeForce RTX 2070",Corei7-10750H,16 GB,,Windows 10 Home,Rgb Backlit Keyboard,2499.00
861,VAIO VAIO Z 14 INCHES,GREY,"INTEGRATED, INTEL IRIS XE GRAPHICS",INTEL CORE I7,16 GB,2 TB,WINDOWS 10 PRO,,1930.95
862,HP HP 15 15.6 INCHES,SILVER,INTEGRATED,CORE I5,12 GB,256 GB,WINDOWS 11 S,"TOUCHSCREEN LAPTOP, WINDOWS LAPTOP, I5 LAPTOP",503.58
863,DELL LATITUDE 5520 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I7,64 GB,2000 GB,WINDOWS 11 HOME,WIFI & BLUETOOTH,1993.99
864,DELL PRECISION 5760 LAPTOP 17 INCHES,SILVER,NVIDIA RTX A3000,CORE I7,32 GB ,1000 GB,WINDOWS 10 PRO,WIFI & BLUETOOTH,3130.48
865,Dell Precision 3570 Laptop 15.6 Inches,Silver,Nvidia Quadro T550,Core i7,16 GB,512 GB,Windows 11 Pro,Wifi & Bluetooth,981.99
866,acer CB314-1H-C884 14 Inches,Blue,"Integrated, Intel",Celeron N,4 GB ,64 GB,Chrome OS,,204.00
867,HP ENVY X360 2-IN-1 15.6 INCHES,NATURAL SILVER,INTEGRATED,CORE I5 FAMILY,32 GB,1 TB,WINDOWS 10 PRO,"FINGERPRINT READER, HD AUDIO, BACKLIT KEYBOARD, MEMORY CARD SLOT",1059.00
868,Dell Inspiron 3511 15.6 Inches,,"Integrated, Intel UHD Graphics",Core i5 / 1 GHz,64 GB,1 TB,Windows 11 Pro,,753.11
869,DELL XPS 17 INCHES,PLATINUM SILVER,DEDICATED,CORE I7 11800H,16 GB,1 TB,WINDOWS 10,"BACKLIT KEYBOARD,FINGERPRINT READER",2179.05
870,DELL INSPIRON 3515 LAPTOP 15.6 INCHES,PLATINUM SILVER,"INTEGRATED, AMD INTEGRATED GRAPHICS",AMD RYZEN 7,8 GB ,256 GB,WINDOWS 11 HOME,,409.00
871,HP Dragonfly Folio G3 13.5 Inches,,"Iris Xe Graphics, Intel Iris Xe Graphics",Core i7,16 GB,512 GB,Windows 11 Pro,"Corning Gorilla Glass 7, Miracast Technology",2742.99
872,Dell Precision 7770 17.3 Inches,,"Dedicated, NVIDIA RTX A3000 12GB GDDR6",Core i7 Family,64 GB ,512 GB,Windows 10 Pro,Anti-glare,2051.37
873,HP 369K6UT#ABA 13.3 Inches,Silver,Integrated,Core i5 / 2.4 GHz,16 GB ,,Windows 10 Pro,,1482.13
874,Razer Blade 15 15.6 Inches,Black,"RTX 3070, NVIDIA GeForce TRX 3070",Corei7-10750H,16 GB ,,Windows 10 Home,Backlit Keyboard,3099.00
875,Dell Latitude 7330 Laptop 13.3 Inches,Carbon Fiber,"Integrated, Intel Integrated Graphics",Core i5,16 GB,256 GB,Windows 11 Pro,,692.99
876,DELL LATITUDE E6540 15.6 INCHES,SILVER,"INTEGRATED, INTEGRATED GRAPHICS",CORE I7, 16 GB,500 GB,WINDOWS 10 PRO 64 BIT-MULTI-LANGUAGE SUPPORT ENGLISH/FRENCH/SPANISH.,,268.98
877,DELL LATITUDE 7430 LAPTOP 14 INCHES,ALUMINUM,"INTEGRATED, INTEL INTEGRATED GRAPHICS",CORE I5,16 GB,256 GB,WINDOWS 11 PRO,,980.99
878,Dell Latitude 7330 Laptop 13.3 Inches,Carbon Fiber,"Integrated, Intel Integrated Graphics",Core i7, 16 GB,256 GB,Windows 11 Pro,,843.99
879,DELL INSPIRON I5625 16 INCHES,PLATINUM SILVER,INTEGRATED,RYZEN 7,64 GB,2 TB,WINDOWS 11 PRO,"FINGERPRINT READER, HD AUDIO, BACKLIT KEYBOARD, ANTI GLARE COATING, MEMORY CARD SLOT",1081.50
880,DELL LATITUDE 5520 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I7,16 GB,1000 GB,WINDOWS 10 HOME,WIFI & BLUETOOTH,1764.99
881,DELL PRECISION WORKSTATION 5770 17 INCHES,SILVER,DEDICATED,INTEL CORE I9,64 GB,1 TB,WINDOWS 11 PRO,BACKLIT KEYBOARD,3049.00
882,LENOVO IDEAPAD 3 15.6 INCHES,BLUE,INTEGRATED,CELERON P4500, 8 GB,64 GB,CHROME OS,NARROW,294.29
883,DELL PMTF1 16 INCHES,,"INTEGRATED, NVIDIA GEFORCE RTX 4000",CORE I9 / 2.2 GHZ, 64 GB,1 TB,WINDOWS 11 PRO,,4762.76
884,Dell Latitude 3420 Laptop 14 Inches,Black,Nvidia GeForce MX250,Core i5,32 GB,2000 GB,Windows 11 Pro,Wifi & Bluetooth,1058.99
885,LENOVO IDEAPAD 5 14ITL05 14 INCHES,GRAPHITE GRAY,IRIS XE GRAPHICS,CORE I5 FAMILY,16 GB,512 GB,WINDOWS 10 HOME,ANTI-GLARE SCREEN,699.99
886,Dell XPS 9530 Laptop 15.6 Inches,Platinum Silver,Nvidia GeForce RTX 4070,Core i9, 64 GB,1000 GB,Windows 11 Home,Wifi & Bluetooth,3175.75
887,HP 15-EH2085CL 15.6 INCHES,,"INTEGRATED AMD RADEON™ GRAPHICS, AMD RADEON GRAPHICS",RYZEN 7 / 2 GHZ,16 GB,512 GB,WINDOWS 11,,675.00
888,HP HP Chromebook 14 Inches,Blue,"Integrated, Intel UHD Graphics 600",Celeron N4020, 4 GB,64 MB,Windows 10 S,,228.00
889,HP ENVY X360 2-IN-1 15.6 INCHES,PLATINUM GREY,INTEGRATED,CORE I7 FAMILY,32 GB ,2 TB,WINDOWS 11 PRO,"HD AUDIO, BACKLIT KEYBOARD, MEMORY CARD SLOT",1599.00
890,Apple,,Dedicated,Unknown,24 GB,512 GB,Mac OS,,1899.00
891,Toughbook CF-20 MK2 10.1 Inches,,"Integrated, Intel HD Graphics 615",Intel Core i5,8 GB ,256 GB,Windows 10 Pro,Support Stylus,508.74
892,Dell Latitude 5520 Laptop 15.6 Inches,Black,Integrated,Core i7, 64 GB,4000 GB,Windows 11 Home,Wifi & Bluetooth,2622.99
893,LG 16Z90Q-K.AAS6U1 16 INCHES,GRAY,DEDICATED,CORE I5, 16 GB,512 GB,WINDOWS 11 HOME,LIGHTWEIGHT,900.90
894,Dell Inspiron 3511 Laptop 15.6 Inches,Black,Integrated,Core i5,64 GB,4000 GB,Windows 10 Home,Wifi & Bluetooth,1037.99
895,"HP HP 17.3"" 17.3 Inches",,"Integrated, Intel UHD Graphics",Core i3, 16 GB,1 TB,Windows 11,Anti-glare,557.00
896,DELL PRECISION 7670 LAPTOP 16 INCHES,SILVER,"INTEGRATED, INTEL INTEGRATED GRAPHICS",CORE I9, 16 GB,256 GB,WINDOWS 11 PRO,,1927.99
897,DELL LATITUDE 7330 LAPTOP 13.3 INCHES,BLACK,INTEGRATED,CORE I7,16 GB,512 GB,WINDOWS 11 PRO,WIFI & BLUETOOTH,844.58
898,Dell Inspiron 14 Inches,Silver,Integrated,Core i7, 64 GB,2 TB,Windows 11 Home,Backlit Kb,993.23
899,LENOVO THINKPAD T15P GEN 2 15.6 INCHES,BLACK,GEFORCE GTX 1650,CORE I7, 16 GB,1 TB,WINDOWS 11 PRO,ANTI-GLARE SCREEN,2229.07
900,DELL LATITUDE 7420 LAPTOP 14 INCHES,BLACK,INTEGRATED,CORE I5,16 GB,2000 GB,WINDOWS 10 HOME,WIFI & BLUETOOTH,886.99
901,Lenovo TP X140E A4/1.5 11.6 4GB 500GB W7P-W8P64 11.6 Inches,Cover: RED ; Inner/keyboard: BLACK,"Dedicated, AMD Radeon Hd 8330",AMD A Series,4 GB ,500 GB,Windows 7 Professional,,298.95
902,LENOVO,,INTEGRATED,UNKNOWN,16 GB ,,,,1594.95
903,ASUS TUF Gaming F15 15.6 Inches,Black,Dedicated,Core i5 / 4.5 GHz,16 GB ,512 GB,Windows 11 Home,,999.00
904,Dell Precision 7770 17 Inches,,"Dedicated, NVIDIA RTX A4500 16GB GDDR6 (4DP)",Core i7 / 4.8 GHz, 64 GB,512 GB,Windows 11 Pro,,3498.77
905,DELL 11.6 INCHES,,"INTEGRATED, INTEL UHD GRAPHICS",CELERON / 1.1 GHZ,4 GB,,CHROME OS,,229.99
906,Dell Latitude 3520 Laptop 15.6 Inches,Black,Nvidia GeForce MX250,Core i7, 16 GB,512 GB,Windows 11 Home,Wifi & Bluetooth,1015.99
907,Lenovo 1300-000-180 15.6 Inches,,"Integrated, Dedicated, Intel HD Graphics 520",1.2GHz Cortex A8 Processor,16 GB,,Windows 10 Pro,,719.99
908,DELL LATITUDE 3420 LAPTOP 14 INCHES,BLACK,INTEGRATED,CORE I7,8 GB ,512 GB,WINDOWS 10 HOME,WIFI & BLUETOOTH,807.99
909,Dell Inspiron 3511 Laptop 15.6 Inches,Black,Integrated,Core i5,16 GB,512 GB,Windows 10 Home,Wifi & Bluetooth,613.99
910,DELL LATITUDE 5530 LAPTOP 15.6 INCHES,BLACK,INTEGRATED,CORE I7,32 GB ,2000 GB,WINDOWS 11 PRO,WIFI & BLUETOOTH,2548.37
911,Dell Latitude 5420 Laptop 14 Inches,Black,Integrated,Core i7,32 GB,512 GB,Windows 10 Home,Wifi & Bluetooth,1058.99
912,MSI GP66 Leopard 15.6 Inches,,"Dedicated, NVIDIA GeForce RTX 3070",Core i7 / 2.3 GHz,32 GB,1 TB,Windows 10 Home,,2699.00
913,HP ELITE DRAGONFLY 13.3 INCHES,BLUE,"INTEGRATED, INTEL UHD GRAPHICS 620",INTEL CORE I5 / 1.6 GHZ,16 GB,,WINDOWS 10 PRO,,1341.77
914,Dell Latitude 7320 Laptop 13.3 Inches,Black,Integrated,Core i5, 16 GB,512 GB,Windows 10 Pro,Wifi & Bluetooth,934.67
915,HP 15.6 INCHES,,"INTEGRATED, INTEGRATED AMD RADEON™ GRAPHICS",AMD R SERIES / 2 GHZ, 16 GB,512 GB,WINDOWS 7,BACKLIT KEYBOARD,709.99
916,DELL LATITUDE 9330 2-IN-1 13.3 INCHES,BLACK,"INTEGRATED, INTEL INTEGRATED GRAPHICS",CORE I7, 32 GB,1000 GB,WINDOWS 11 PRO,,1685.69
917,Lenovo ThinkBook 15 G4 15.6 Inches,Mineral Grey,Integrated,Core i7 Family,16 GB,2 TB,Windows 10 Pro,"Fingerprint Reader, Backlit Keyboard, Anti Glare Coating, Memory Card Slot, Numeric Keypad",1279.00
918,DELL VXDV2 14 INCHES,,"INTEGRATED, INTEL UHD GRAPHICS",INTEL CORE I5 / 2.6 GHZ, 16 GB,256 GB,WINDOWS 10 PRO,,1699.00
919,HP HP Laptop 15-ef2024nr 15 Inches,Natural silver,Integrated,Ryzen 3, 8 GB,256 GB,Windows 11 Home,,337.96
920,ACER AN515-58-725A 15.6 INCHES,BLACK,DEDICATED,CORE I7,16 GB ,512 GB,WINDOWS 11 HOME,ANTI GLARE COATING,1199.00
921,DELL VOSTRO 7620 LAPTOP 16 INCHES,BLACK,NVIDIA GEFORCE RTX 3050,CORE I7, 24 GB,512 GB,WINDOWS 10 HOME,WIFI & BLUETOOTH,1201.13
922,Dell Latitude 7440 Laptop 14 Inches,Black,"Integrated, Intel Integrated Graphics",Core i5,16 GB ,256 GB,Windows 11 Pro,,1212.99
923,acer Acer Chromebook 11.6 Inches,Black,"Integrated, AMD Radeon R5",AMD A Series / 1.8 GHz,,,Chrome OS,Backlit,139.00
924,acer Chromebook Spin 11.6 Inches,Silver,"Integrated, intel",Celeron N4000, 4 GB,64 GB,Chrome OS,,226.00
925,TOCOSY LAPTOP T12 11.6 INCHES,WHITE,"INTEGRATED, INTEL",ATOM Z8350,4 GB,64 GB,WINDOWS 10,,229.00
926,SAMSUNG XE303C12 11.6 Inches,Silver,"Integrated, Intel Graphics Integrated",Unknown, 2 GB,16 GB,Chrome OS,Stereo,85.00
927,Dell Latitude 5520 15.6 Inches,,"Integrated, Intel Iris Xe Graphics",Core i5,16 GB ,256 GB,Windows 11 Pro,Backlit Kyb,1690.99
928,LENOVO LENOVO THINKPAD 15.6 INCHES,,"DEDICATED, NVIDIA QUADRO K1100M",CORE I7-4700MQ,16 GB,256 GB,WINDOWS 10 PRO,"BACKLIT KEYBOARD,FINGERPRINT READER",422.00
929,DELL PRECISION 7680 LAPTOP 16 INCHES,SILVER,NVIDIA RTX 2000 ADA,CORE I7,32 GB,1000 GB,WINDOWS 11 PRO,WIFI & BLUETOOTH,2400.99
930,DELL DELL INSPIRON 15.6 INCHES,,"DEDICATED, NVIDIA GEFORCE GTX 1060",8032,16 GB ,,WINDOWS 10,,1288.88
931,Dell Precision 7780 Laptop 17 Inches,Silver,Nvidia RTX 4000 Ada,Core i7,16 GB,512 GB,Windows 11 Pro,Wifi & Bluetooth,2815.30
932,Dell Inspiron 3511 Laptop 15.6 Inches,Black,Integrated,Core i5, 64 GB,1000 GB,Windows 10 Home,Wifi & Bluetooth,758.99
933,DELL DELL LATITUDE 5520 15.6 INCHES,SILVER,"INTEGRATED, INTEL IRIS XE GRAPHICS",INTEL CORE I5 1145G7,32 GB,2 TB,WINDOWS 10 PRO,,1038.28
934,Dell Latitude 5430 Laptop 14 Inches,Black,"Integrated, Intel Integrated Graphics",Core i7,64 GB,1000 GB,Windows 11 Pro,,1134.49
935,DELL MGNDK 15.6 INCHES,,INTEGRATED,INTEL CORE I7 / 2.7 GHZ, 16 GB,256 GB,WINDOWS 10 PRO,,2399.00
936,Dell Latitude 5440 Laptop 14 Inches,Black,Integrated,Core i7, 32 GB,512 GB,Windows 11 Home,Wifi & Bluetooth,1341.23
937,ASUS ASUS Chromebook C423 14 Inches,Silver,Intel HD Graphics 500,Celeron, 4 GB,32 GB,Chrome OS,"Anti-glare,Ultra-narrow Bezel",199.00
938,DELL DELL PRECISION 5520 MOBILE WORKSTATION 15.6 INCHES,,"DEDICATED, INTEL HD GRAPHICS 630",2.9 GHZ, 16 GB,,WINDOWS 10 PRO,,1799.81
939,DELL DELL LATITUDE 11.6 INCHES,BLACK,"INTEGRATED, INTEL HD GRAPHICS 520",UNKNOWN, 16 GB,,WINDOWS 10 PRO,,1299.95
940,acer Nitro 5 17.3 Inches,RGB Backlit,Dedicated,Core i5, 32 GB,2 TB,Windows 11 Home,Backlit Kb,1259.00
941,Dell Dell XPS 17 9720 17 Inches,Platinum Silver,Integrated,Intel Core i9, 32 GB,1 TB,Windows 11 Pro,"Fingerprint Reader, Backlit Keyboard, 32 GB RAM",2999.00
942,Dell Precision 5560 Laptop 15.6 Inches,Silver,Integrated,Core i5,32 GB,512 GB,Windows 11 Pro,Wifi & Bluetooth,792.78
943,DELL LATITUDE 5440 LAPTOP 14 INCHES,BLACK,DEDICATED,CORE I7,16 GB ,512 GB,WINDOWS 11 HOME,WIFI & BLUETOOTH,1552.30
944,DELL XPS7390-7954SLV-PUS 13.4 INCHES,SILVER,"INTEGRATED, INTEL® IRIS PLUS GRAPHICS",CORE I7-1065G7, 32 GB,512 GB,WINDOWS 10 HOME,,1799.00
945,Dell Inspiron 3511 Laptop 15.6 Inches,Black,Integrated,Core i3,8 GB ,512 GB,Windows 10 Home,Wifi & Bluetooth,591.99
946,DELL XPS 9720 17 INCHES,PLATINUM SILVER,DEDICATED,CORE I7 FAMILY,64 GB,4 TB,WINDOWS 11 PRO,"FINGERPRINT READER, HD AUDIO, BACKLIT KEYBOARD, ANTI GLARE COATING, MEMORY CARD SLOT",3799.99
947,Dell Latitude 7420 Laptop 14 Inches,Black,Integrated,Core i7,32 GB,2000 GB,Windows 11 Home,Wifi & Bluetooth,1552.99
948,Dell Latitude 7440 Laptop 14 Inches,Black,Integrated,Core i5,16 GB ,256 GB,Windows 11 Pro,Wifi & Bluetooth,1420.42
949,DELL XPS 9315 LAPTOP 13.4 INCHES,PLATINUM SILVER,"INTEGRATED, INTEL INTEGRATED GRAPHICS",CORE I5,16 GB,512 GB,WINDOWS 11 PRO,,909.99
950,DELL LATITUDE 7420 LAPTOP 14 INCHES,BLACK,INTEGRATED,CORE I5, 16 GB,1000 GB,WINDOWS 10 HOME,WIFI & BLUETOOTH,1155.99
951,Dell Latitude 7420 Laptop 14 Inches,Black,Integrated,Core i7,16 GB ,2000 GB,Windows 11 Home,Wifi & Bluetooth,880.99
952,Acer,,"Dedicated, NVIDIA GeForce RTX 4060",Unknown,16 GB ,1 TB,Windows 10 Home,,1729.98
953,Dell Inspiron 3511 15.6 Inches,,"Integrated, Intel UHD Graphics",Core i5 / 1 GHz,32 GB ,256 GB,Windows 11 Home,,714.34
954,DELL LATITUDE 5320 2-IN-1 13.3 INCHES,BLACK,INTEGRATED,CORE I7,8 GB,512 GB,WINDOWS 10 HOME,WIFI & BLUETOOTH,863.99
955,HP 14-fq0013dx 14 Inches,,Unknown,AMD A Series, 4 GB,,Windows 10 S,,207.99
956,DELL XPS 9320 LAPTOP 13.4 INCHES,BLACK,"INTEGRATED, INTEL INTEGRATED GRAPHICS",CORE I7,32 GB,2000 GB,WINDOWS 11 PRO,,1820.99
957,acer CB314-3HT-P6QW 14 Inches,Silver,"Integrated, Intel UHD Graphics",Pentium,8 GB,64 GB,Chrome OS,,432.70
958,Dell Latitude 3420 Laptop 14 Inches,Black,Integrated,Core i5, 16 GB,256 GB,Windows 10 Home,Wifi & Bluetooth,764.99
959,DELL E6540 15.6 INCHES,,"DEDICATED, AMD RADEON HD 8790M",CORE I7,8 GB ,500 GB,WINDOWS 7 PROFESSIONAL,HD AUDIO,529.95
960,DELL XPS 9320 LAPTOP 13.4 INCHES,GRAPHITE,INTEGRATED,CORE I7,16 GB,1000 GB,WINDOWS 11 HOME,WIFI & BLUETOOTH,1558.96
