AGE,GENDER,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_YEAR,MARRIED,CHILDREN,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,FREQUENT_ACCIDENT
16-25,female,0-9y,none,working class,0.435874861,after 2015,True,True,12000.0,0,0,0,True,Never
40-64,female,10-19y,university,upper class,,before 2015,False,False,13000.0,0,1,0,False,Never
40-64,female,20-29y,none,working class,0.35633053,before 2015,False,True,10000.0,1,0,6,False,Often
26-39,female,0-9y,high school,upper class,0.712444307,after 2015,False,False,15000.0,0,0,0,False,Never
26-39,male,10-19y,none,poverty,0.403247138,before 2015,False,False,,2,0,2,False,Rarely
26-39,male,10-19y,none,working class,0.218951234,before 2015,False,True,11000.0,5,0,0,False,Never
40-64,male,20-29y,university,upper class,0.473020747,after 2015,False,True,13000.0,3,0,3,False,Often
40-64,female,10-19y,high school,working class,0.423925856,before 2015,True,True,11000.0,2,0,1,False,Rarely
16-25,female,0-9y,none,working class,0.301746144,after 2015,True,False,,0,0,0,False,Never
40-64,male,10-19y,university,middle class,,after 2015,True,False,16000.0,1,2,0,True,Never
65+,female,10-19y,high school,upper class,0.633632079,after 2015,True,True,9000.0,2,0,0,True,Never
65+,female,10-19y,high school,upper class,,before 2015,True,True,9000.0,0,0,1,False,Rarely
26-39,male,0-9y,none,poverty,0.265898003,before 2015,False,False,12000.0,0,0,0,False,Never
16-25,female,0-9y,none,poverty,0.252620868,before 2015,True,False,9000.0,0,0,0,False,Never
16-25,female,0-9y,none,poverty,0.417612326,before 2015,False,True,13000.0,0,0,0,True,Never
65+,female,20-29y,none,upper class,0.654793166,before 2015,False,True,8000.0,2,2,3,False,Often
26-39,male,10-19y,university,middle class,0.606351933,after 2015,False,False,14000.0,1,0,2,False,Rarely
65+,male,30y+,university,upper class,,after 2015,True,True,8000.0,15,1,3,False,Often
65+,female,10-19y,high school,upper class,0.441929964,before 2015,True,True,10000.0,0,0,0,False,Never
16-25,female,0-9y,high school,poverty,0.285951128,before 2015,False,True,,0,0,0,True,Never
26-39,male,10-19y,none,poverty,0.34121347,before 2015,False,False,11000.0,0,0,2,True,Rarely
65+,female,10-19y,high school,upper class,0.676447089,after 2015,False,True,11000.0,0,0,0,False,Never
40-64,female,20-29y,high school,working class,0.329675288,after 2015,True,True,13000.0,1,0,5,False,Often
16-25,female,0-9y,university,working class,0.519320826,before 2015,False,False,14000.0,0,0,0,True,Never
40-64,female,20-29y,university,upper class,0.624313441,before 2015,True,True,11000.0,2,2,1,False,Rarely
16-25,female,0-9y,none,working class,0.288283802,after 2015,False,False,12000.0,0,0,0,False,Never
16-25,male,0-9y,university,upper class,0.562540801,after 2015,True,True,13000.0,0,0,0,True,Never
16-25,male,0-9y,none,poverty,0.273095992,before 2015,False,True,14000.0,0,0,0,True,Never
16-25,female,0-9y,none,poverty,0.372990583,before 2015,False,False,15000.0,0,0,0,False,Never
40-64,male,20-29y,university,upper class,0.416284097,after 2015,False,True,11000.0,7,2,2,False,Rarely
16-25,male,0-9y,none,poverty,0.33579697,before 2015,False,False,,0,0,0,True,Never
16-25,male,0-9y,none,poverty,0.422372493,after 2015,False,False,15000.0,0,0,0,True,Never
40-64,female,20-29y,university,upper class,0.692226372,before 2015,True,True,13000.0,0,0,0,False,Never
16-25,female,0-9y,high school,middle class,,before 2015,False,False,16000.0,0,0,0,False,Never
40-64,female,20-29y,university,upper class,0.874829991,after 2015,False,False,15000.0,0,0,1,False,Rarely
40-64,male,20-29y,university,upper class,0.687021251,before 2015,False,True,15000.0,2,0,1,False,Rarely
40-64,male,20-29y,high school,upper class,0.541610107,after 2015,True,True,9000.0,4,1,3,False,Often
16-25,female,0-9y,high school,working class,0.581943569,before 2015,True,True,11000.0,0,0,0,True,Never
16-25,female,0-9y,none,poverty,,before 2015,False,False,,0,0,0,True,Never
26-39,male,10-19y,university,working class,0.410340062,before 2015,False,False,15000.0,1,1,2,True,Rarely
65+,male,10-19y,university,upper class,0.624946394,before 2015,False,True,10000.0,0,0,1,False,Rarely
40-64,male,20-29y,high school,middle class,0.475293574,before 2015,False,True,9000.0,6,1,2,True,Rarely
65+,female,30y+,high school,upper class,0.553205924,before 2015,True,True,7000.0,7,1,5,False,Often
26-39,male,10-19y,university,middle class,0.43064851,before 2015,True,True,12000.0,0,0,5,False,Often
40-64,female,0-9y,high school,middle class,0.623086225,after 2015,False,True,16000.0,0,0,0,False,Never
26-39,male,10-19y,high school,working class,0.519225017,before 2015,False,False,11000.0,1,0,0,False,Never
26-39,female,10-19y,none,working class,0.432841889,before 2015,False,True,8000.0,2,0,3,False,Often
40-64,female,20-29y,university,upper class,0.672009527,after 2015,True,False,13000.0,0,0,0,False,Never
40-64,male,20-29y,high school,middle class,0.515348646,before 2015,True,True,10000.0,1,0,2,False,Rarely
26-39,female,10-19y,high school,middle class,0.518849907,before 2015,True,True,,1,0,0,False,Never
40-64,male,20-29y,university,upper class,0.85646296,after 2015,False,True,12000.0,8,0,4,False,Often
16-25,male,0-9y,high school,poverty,0.370017848,before 2015,False,False,10000.0,0,0,0,True,Never
16-25,female,0-9y,none,poverty,0.359742311,before 2015,False,False,16000.0,0,0,0,True,Never
16-25,male,0-9y,none,poverty,,before 2015,False,False,14000.0,0,0,0,True,Never
26-39,male,10-19y,none,poverty,0.415735842,before 2015,True,True,10000.0,1,0,1,True,Rarely
26-39,female,10-19y,high school,middle class,,after 2015,True,True,13000.0,0,0,1,False,Rarely
26-39,male,0-9y,high school,working class,0.46890007,before 2015,True,True,7000.0,0,0,0,False,Never
65+,female,20-29y,university,middle class,0.498366935,after 2015,True,True,12000.0,2,0,0,False,Never
26-39,male,10-19y,university,middle class,0.609018511,after 2015,True,False,,0,0,0,False,Never
16-25,female,0-9y,none,poverty,0.218055813,before 2015,False,True,12000.0,0,0,0,False,Never
16-25,male,0-9y,university,poverty,0.409307606,before 2015,False,False,12000.0,0,0,0,True,Never
65+,female,20-29y,high school,upper class,0.381242392,after 2015,True,True,16000.0,1,0,0,False,Never
26-39,female,10-19y,high school,middle class,0.610804733,before 2015,True,True,10000.0,0,0,2,False,Rarely
16-25,female,0-9y,high school,poverty,0.397513935,before 2015,True,False,13000.0,0,0,0,True,Never
40-64,female,20-29y,high school,middle class,0.455211436,after 2015,True,False,16000.0,1,1,1,False,Rarely
40-64,female,0-9y,none,poverty,0.224617954,before 2015,False,True,13000.0,0,0,0,True,Never
40-64,male,20-29y,university,upper class,0.548033163,before 2015,True,True,13000.0,0,1,5,False,Often
65+,male,30y+,high school,upper class,0.598756503,after 2015,False,False,10000.0,11,0,1,False,Rarely
16-25,female,0-9y,high school,middle class,0.457833053,after 2015,False,False,14000.0,0,0,0,False,Never
26-39,female,10-19y,high school,poverty,0.243878276,before 2015,False,True,,0,0,0,False,Never
40-64,female,20-29y,high school,middle class,0.579392904,before 2015,False,False,13000.0,2,0,0,False,Never
65+,female,30y+,university,upper class,,before 2015,True,True,10000.0,4,1,6,False,Often
40-64,female,0-9y,none,working class,0.470570718,before 2015,False,True,12000.0,0,0,0,False,Never
16-25,male,0-9y,university,working class,0.476032034,before 2015,False,False,13000.0,0,0,0,True,Never
65+,male,10-19y,university,upper class,,after 2015,True,True,11000.0,1,0,1,False,Rarely
40-64,female,0-9y,high school,working class,0.391390544,before 2015,True,False,14000.0,0,0,0,False,Never
65+,female,30y+,high school,upper class,0.570879019,before 2015,True,True,12000.0,0,2,3,False,Often
16-25,female,0-9y,university,middle class,0.542696375,before 2015,False,False,,0,0,0,True,Never
16-25,male,0-9y,university,working class,0.504994853,after 2015,False,False,8000.0,0,0,0,True,Never
26-39,male,10-19y,university,middle class,0.444152371,before 2015,False,True,11000.0,4,0,1,True,Rarely
16-25,male,0-9y,high school,poverty,0.321135186,before 2015,False,True,11000.0,0,0,0,True,Never
40-64,male,10-19y,university,upper class,0.68282991,before 2015,False,True,12000.0,1,0,2,True,Rarely
40-64,male,20-29y,university,upper class,0.519066677,before 2015,True,True,11000.0,1,0,5,False,Often
40-64,female,20-29y,university,upper class,0.621845827,after 2015,False,True,15000.0,0,0,0,False,Never
65+,female,30y+,university,upper class,,after 2015,True,True,10000.0,1,0,2,False,Rarely
26-39,male,10-19y,none,poverty,0.4473204,after 2015,True,True,10000.0,3,0,2,False,Rarely
40-64,female,10-19y,university,upper class,0.537910583,before 2015,False,True,12000.0,0,0,2,False,Rarely
26-39,male,10-19y,university,upper class,,before 2015,True,False,11000.0,5,0,0,False,Never
16-25,female,0-9y,university,middle class,0.516627562,before 2015,True,True,11000.0,0,0,0,False,Never
65+,male,30y+,university,upper class,0.562488478,before 2015,True,True,6000.0,17,2,2,False,Rarely
40-64,male,10-19y,university,upper class,0.61865205,before 2015,True,True,,1,1,1,False,Rarely
65+,female,30y+,high school,upper class,0.697757964,after 2015,True,True,13000.0,2,1,1,False,Rarely
26-39,female,10-19y,high school,middle class,0.508264859,before 2015,True,True,8000.0,1,0,0,False,Never
26-39,female,10-19y,high school,upper class,0.74868393,after 2015,False,True,,0,0,0,False,Never
40-64,male,10-19y,university,upper class,0.623894016,after 2015,True,True,10000.0,2,3,1,False,Rarely
26-39,male,10-19y,university,upper class,0.737041153,before 2015,True,False,9000.0,3,1,2,False,Rarely
26-39,female,10-19y,none,working class,0.38415855,before 2015,True,True,12000.0,1,0,1,False,Rarely
26-39,female,10-19y,none,middle class,0.4873745,before 2015,False,True,11000.0,2,0,0,False,Never
40-64,male,0-9y,high school,upper class,0.570880067,after 2015,True,True,14000.0,0,0,0,True,Never
16-25,male,0-9y,none,working class,0.454092671,before 2015,False,False,9000.0,0,0,0,True,Never
40-64,male,10-19y,university,upper class,,before 2015,True,True,,0,0,3,False,Often
65+,female,0-9y,high school,upper class,0.730677463,after 2015,True,True,13000.0,0,0,0,False,Never
40-64,female,20-29y,university,upper class,0.62717089,after 2015,False,True,13000.0,1,0,0,False,Never
16-25,male,0-9y,university,working class,0.282902046,before 2015,False,False,15000.0,0,0,0,True,Never
40-64,male,0-9y,high school,upper class,0.545340699,after 2015,True,True,11000.0,0,0,0,True,Never
16-25,male,0-9y,university,upper class,0.608265696,before 2015,True,False,13000.0,0,0,0,True,Never
26-39,female,0-9y,none,poverty,0.282869481,before 2015,True,False,13000.0,0,0,0,True,Never
16-25,female,0-9y,high school,poverty,0.352860651,before 2015,False,False,16000.0,0,0,0,False,Never
26-39,male,10-19y,none,working class,0.589182573,before 2015,True,True,8000.0,1,1,4,False,Often
26-39,female,10-19y,high school,upper class,0.595714958,before 2015,True,True,7000.0,2,0,2,False,Rarely
26-39,male,0-9y,none,poverty,0.308649018,before 2015,False,True,14000.0,0,0,0,False,Never
40-64,male,20-29y,high school,middle class,0.600552799,before 2015,False,True,8000.0,8,0,3,False,Often
40-64,male,20-29y,high school,upper class,0.669561971,after 2015,True,True,7000.0,4,0,5,False,Often
16-25,male,0-9y,high school,poverty,0.356650801,before 2015,False,True,11000.0,0,0,0,True,Never
65+,male,30y+,high school,upper class,0.750357277,before 2015,False,True,12000.0,6,2,1,False,Rarely
40-64,female,20-29y,university,upper class,,before 2015,True,False,,1,0,3,False,Often
40-64,male,20-29y,university,upper class,0.572038975,before 2015,True,True,7000.0,13,0,1,False,Rarely
65+,female,0-9y,university,upper class,0.594566426,after 2015,False,True,13000.0,0,0,0,False,Never
65+,male,0-9y,none,working class,0.251018731,before 2015,True,True,14000.0,0,0,0,True,Never
65+,male,0-9y,university,upper class,0.516667313,before 2015,False,True,14000.0,0,0,0,True,Never
16-25,male,0-9y,high school,poverty,0.345877567,after 2015,False,False,16000.0,0,0,0,False,Never
26-39,female,10-19y,university,working class,0.356691656,after 2015,True,False,10000.0,1,0,2,False,Rarely
40-64,male,10-19y,high school,working class,0.447280977,before 2015,True,True,8000.0,4,0,0,False,Never
40-64,female,10-19y,high school,upper class,0.570734069,after 2015,False,True,11000.0,3,0,1,False,Rarely
40-64,female,10-19y,university,upper class,0.625832298,before 2015,False,True,12000.0,0,0,2,False,Rarely
65+,female,20-29y,university,upper class,,before 2015,True,True,10000.0,4,0,0,False,Never
26-39,female,10-19y,high school,middle class,0.574492294,before 2015,False,False,10000.0,0,0,0,False,Never
26-39,male,0-9y,none,working class,0.320215212,before 2015,True,True,12000.0,0,0,0,True,Never
40-64,male,20-29y,university,upper class,0.659852928,after 2015,True,True,8000.0,6,2,2,False,Rarely
40-64,female,20-29y,high school,upper class,,after 2015,True,True,11000.0,2,0,1,False,Rarely
16-25,male,0-9y,high school,poverty,0.289027267,before 2015,False,False,,0,0,0,True,Never
26-39,female,10-19y,university,upper class,,before 2015,False,False,15000.0,0,1,1,True,Rarely
40-64,male,0-9y,university,upper class,0.692865248,before 2015,True,True,,0,0,0,True,Never
40-64,male,20-29y,high school,upper class,0.687822709,after 2015,True,True,,7,0,1,False,Rarely
40-64,female,10-19y,none,middle class,0.394061318,before 2015,True,True,,2,0,3,False,Often
65+,female,0-9y,university,upper class,0.678554783,after 2015,False,True,13000.0,0,0,0,False,Never
40-64,male,0-9y,high school,upper class,0.680913187,after 2015,False,True,11000.0,0,0,0,False,Never
26-39,female,10-19y,university,upper class,0.58278707,before 2015,False,False,16000.0,0,0,1,False,Rarely
65+,female,0-9y,high school,upper class,0.552382001,before 2015,False,True,11000.0,0,0,0,False,Never
40-64,male,20-29y,high school,middle class,0.505099202,before 2015,False,False,18000.0,0,1,1,True,Rarely
26-39,female,10-19y,none,poverty,0.522521998,before 2015,False,False,,1,0,0,True,Never
65+,male,10-19y,university,upper class,0.711137734,before 2015,True,False,10000.0,3,1,0,False,Never
26-39,male,10-19y,university,upper class,0.614605554,before 2015,True,False,13000.0,2,0,2,False,Rarely
40-64,male,10-19y,high school,upper class,0.287715332,after 2015,False,True,11000.0,2,2,2,True,Rarely
16-25,male,0-9y,high school,poverty,0.334402392,before 2015,False,False,,0,0,0,True,Never
40-64,male,20-29y,high school,middle class,0.482327621,before 2015,True,True,9000.0,3,1,2,False,Rarely
16-25,male,0-9y,none,poverty,0.265288537,before 2015,False,True,,0,0,0,True,Never
40-64,female,20-29y,university,upper class,0.613532264,after 2015,True,True,11000.0,1,0,0,False,Never
16-25,male,0-9y,none,working class,0.413682295,before 2015,False,True,,0,0,0,True,Never
16-25,female,0-9y,none,poverty,0.434926293,before 2015,False,False,17000.0,0,0,0,True,Never
16-25,male,0-9y,high school,poverty,0.400754619,before 2015,False,True,13000.0,0,0,0,False,Never
65+,male,30y+,high school,upper class,0.417131348,after 2015,True,True,,6,2,4,False,Often
26-39,female,0-9y,none,poverty,0.36889837,before 2015,False,False,,0,0,0,True,Never
26-39,male,0-9y,high school,working class,0.171778011,before 2015,False,True,13000.0,0,0,0,False,Never
65+,male,0-9y,university,upper class,0.576244815,before 2015,True,True,10000.0,0,0,0,True,Never
16-25,female,0-9y,none,poverty,0.351059382,after 2015,False,False,16000.0,0,0,0,True,Never
26-39,female,10-19y,none,working class,0.444032982,before 2015,True,True,13000.0,1,0,1,False,Rarely
65+,female,10-19y,university,upper class,0.687578338,after 2015,False,True,10000.0,0,0,0,False,Never
65+,female,0-9y,none,middle class,0.534287706,before 2015,True,True,13000.0,0,0,0,False,Never
16-25,female,0-9y,none,poverty,0.234564679,before 2015,False,True,7000.0,0,0,0,True,Never
16-25,male,0-9y,university,upper class,0.634577181,before 2015,False,True,10000.0,0,0,0,True,Never
40-64,male,20-29y,university,upper class,0.477515795,after 2015,True,True,11000.0,1,0,1,False,Rarely
40-64,male,0-9y,high school,middle class,,before 2015,False,True,16000.0,0,0,0,True,Never
40-64,male,20-29y,high school,working class,0.470466594,before 2015,True,True,9000.0,6,2,4,False,Often
40-64,male,0-9y,none,working class,0.480305789,before 2015,False,True,,0,0,0,True,Never
65+,female,0-9y,university,upper class,0.621417441,before 2015,False,True,13000.0,0,0,0,False,Never
40-64,female,20-29y,university,upper class,0.814796434,after 2015,True,True,8000.0,3,0,1,False,Rarely
26-39,female,10-19y,university,middle class,0.55809774,before 2015,True,False,12000.0,1,0,0,False,Never
40-64,female,20-29y,none,working class,0.549430999,before 2015,False,False,8000.0,4,1,2,False,Rarely
16-25,male,0-9y,university,poverty,0.228774066,before 2015,False,False,16000.0,0,0,0,True,Never
40-64,female,10-19y,university,upper class,0.539213827,before 2015,True,True,5000.0,0,1,0,True,Never
16-25,male,0-9y,high school,poverty,,before 2015,False,True,15000.0,0,0,0,True,Never
16-25,male,0-9y,none,poverty,,before 2015,False,False,13000.0,0,0,0,True,Never
26-39,male,10-19y,university,poverty,0.296685193,before 2015,False,True,11000.0,0,0,3,True,Often
65+,male,0-9y,university,upper class,0.632721826,before 2015,True,True,7000.0,0,0,0,True,Never
26-39,female,10-19y,university,upper class,0.59581987,after 2015,False,True,12000.0,1,0,2,False,Rarely
65+,male,10-19y,university,upper class,0.845661215,after 2015,True,True,14000.0,0,0,0,False,Never
40-64,female,20-29y,high school,upper class,0.663663073,after 2015,True,True,8000.0,2,0,5,False,Often
26-39,male,10-19y,high school,working class,0.486403852,before 2015,True,False,12000.0,0,1,0,False,Never
65+,female,30y+,university,upper class,0.568868543,after 2015,True,True,10000.0,1,0,1,False,Rarely
26-39,male,10-19y,none,poverty,0.463710076,before 2015,False,True,12000.0,4,0,1,False,Rarely
26-39,male,10-19y,university,upper class,0.705517514,before 2015,True,True,11000.0,4,1,2,True,Rarely
26-39,female,10-19y,high school,upper class,0.739095132,after 2015,True,True,11000.0,0,0,0,False,Never
65+,female,10-19y,university,upper class,0.424064418,after 2015,True,True,11000.0,0,0,0,False,Never
40-64,female,10-19y,high school,middle class,0.603478034,before 2015,False,True,14000.0,0,1,0,True,Never
40-64,female,20-29y,university,middle class,0.387556944,after 2015,False,True,12000.0,2,0,1,False,Rarely
40-64,female,20-29y,high school,working class,0.468895873,before 2015,False,True,8000.0,4,0,0,False,Never
16-25,male,0-9y,university,middle class,0.414807631,before 2015,False,False,13000.0,0,0,0,True,Never
26-39,male,0-9y,high school,working class,0.366209841,before 2015,False,False,10000.0,0,0,0,True,Never
16-25,male,0-9y,high school,poverty,0.2510367,before 2015,False,False,14000.0,0,0,0,True,Never
65+,male,30y+,university,upper class,0.634964869,after 2015,True,True,14000.0,5,2,2,False,Rarely
40-64,female,20-29y,university,upper class,,after 2015,False,True,7000.0,1,1,2,False,Rarely
26-39,male,0-9y,high school,working class,0.252170769,before 2015,True,True,11000.0,0,0,0,False,Never
40-64,male,10-19y,high school,working class,0.23330865,before 2015,True,True,,0,0,3,True,Often
16-25,female,0-9y,high school,poverty,0.461373592,before 2015,False,False,9000.0,0,0,0,True,Never
65+,male,30y+,university,upper class,0.645228177,after 2015,True,True,8000.0,7,1,3,False,Often
26-39,female,10-19y,high school,working class,0.451413516,before 2015,True,True,9000.0,0,0,2,False,Rarely
26-39,female,0-9y,none,middle class,,before 2015,True,False,14000.0,0,0,0,True,Never
26-39,female,10-19y,university,middle class,0.593854328,after 2015,False,True,11000.0,0,0,0,False,Never
16-25,female,0-9y,high school,poverty,0.321625428,before 2015,False,True,10000.0,0,0,0,True,Never
40-64,female,0-9y,high school,middle class,,after 2015,False,False,19000.0,0,0,0,True,Never
40-64,male,10-19y,university,upper class,0.652263231,after 2015,False,True,9000.0,3,1,1,False,Rarely
65+,female,30y+,university,upper class,0.649307673,before 2015,True,True,8000.0,2,0,4,False,Often
40-64,male,10-19y,high school,upper class,0.659515285,after 2015,False,False,,2,1,0,False,Never
40-64,male,0-9y,high school,middle class,0.516328521,before 2015,False,False,13000.0,0,0,0,True,Never
40-64,female,0-9y,high school,poverty,0.484703895,before 2015,True,True,10000.0,0,0,0,True,Never
26-39,female,10-19y,none,poverty,0.254392884,before 2015,False,False,16000.0,0,0,0,False,Never
26-39,female,10-19y,university,upper class,0.734556256,before 2015,True,True,9000.0,0,1,0,False,Never
40-64,female,20-29y,university,upper class,0.617223803,after 2015,True,True,10000.0,4,3,3,False,Often
16-25,female,0-9y,university,middle class,0.573678482,before 2015,False,True,13000.0,0,0,0,True,Never
40-64,male,20-29y,high school,upper class,0.561894025,before 2015,False,True,9000.0,12,0,0,False,Never
16-25,female,0-9y,high school,working class,0.448947328,before 2015,False,True,15000.0,0,0,0,True,Never
26-39,male,0-9y,none,upper class,0.448673341,after 2015,True,True,11000.0,0,0,0,False,Never
40-64,female,20-29y,high school,upper class,0.491253094,before 2015,False,False,14000.0,0,0,2,False,Rarely
40-64,female,10-19y,high school,middle class,0.457294946,before 2015,False,False,11000.0,2,0,1,False,Rarely
40-64,male,20-29y,university,upper class,0.416711313,before 2015,True,True,6000.0,5,1,5,False,Often
65+,female,30y+,none,upper class,0.6867894,after 2015,True,True,13000.0,2,1,2,False,Rarely
40-64,female,20-29y,university,upper class,0.589586505,after 2015,False,True,14000.0,1,0,1,False,Rarely
65+,female,10-19y,high school,upper class,0.560867815,before 2015,True,False,15000.0,0,0,0,False,Never
26-39,female,10-19y,university,upper class,0.715833387,after 2015,True,True,9000.0,0,0,1,False,Rarely
16-25,female,0-9y,university,working class,0.487769698,before 2015,False,False,11000.0,0,0,0,True,Never
26-39,female,0-9y,university,upper class,0.652330406,after 2015,False,True,13000.0,0,0,0,False,Never
26-39,male,0-9y,none,poverty,0.298678278,before 2015,False,False,16000.0,0,0,0,True,Never
26-39,male,10-19y,high school,middle class,0.550472576,before 2015,False,False,14000.0,2,0,1,False,Rarely
26-39,male,0-9y,none,working class,0.319950572,before 2015,True,True,13000.0,0,0,0,True,Never
40-64,female,20-29y,high school,upper class,0.464687898,after 2015,False,True,,2,1,1,False,Rarely
40-64,female,20-29y,high school,middle class,,before 2015,True,True,11000.0,2,0,0,False,Never
65+,female,10-19y,university,upper class,0.615268901,before 2015,True,True,10000.0,1,1,0,False,Never
40-64,female,0-9y,none,working class,0.474794444,before 2015,True,True,10000.0,0,0,0,False,Never
65+,female,20-29y,high school,upper class,0.634387169,before 2015,True,True,7000.0,0,0,1,True,Rarely
16-25,male,0-9y,high school,poverty,0.37084727,before 2015,False,True,,0,0,0,True,Never
40-64,male,0-9y,high school,middle class,0.401453502,before 2015,True,True,13000.0,0,0,0,True,Never
16-25,female,0-9y,high school,working class,0.60751063,before 2015,True,False,9000.0,0,0,0,True,Never
40-64,male,20-29y,none,upper class,0.587314366,before 2015,True,True,13000.0,1,0,2,False,Rarely
16-25,female,0-9y,university,middle class,,before 2015,False,True,10000.0,0,0,0,False,Never
40-64,female,20-29y,university,upper class,0.529864962,before 2015,True,True,11000.0,1,0,1,False,Rarely
26-39,male,0-9y,university,upper class,0.636764152,before 2015,True,True,10000.0,0,0,0,True,Never
26-39,female,10-19y,high school,middle class,0.58613606,before 2015,True,False,14000.0,1,0,1,False,Rarely
26-39,male,10-19y,university,upper class,,after 2015,False,True,13000.0,2,0,3,False,Often
40-64,female,0-9y,high school,upper class,0.670673498,after 2015,True,True,10000.0,0,0,0,False,Never
16-25,female,0-9y,high school,working class,0.460276295,before 2015,True,False,10000.0,0,0,0,True,Never
65+,male,30y+,high school,working class,,before 2015,True,True,9000.0,8,0,2,False,Rarely
65+,female,20-29y,high school,upper class,0.737610068,before 2015,True,True,11000.0,4,1,0,False,Never
65+,male,0-9y,university,upper class,0.595013659,before 2015,True,True,10000.0,0,0,0,False,Never
26-39,female,10-19y,none,poverty,0.411317096,before 2015,False,False,15000.0,0,0,0,False,Never
16-25,female,0-9y,none,poverty,,after 2015,False,False,12000.0,0,0,0,False,Never
16-25,female,0-9y,high school,working class,0.33996784,before 2015,False,False,15000.0,0,0,0,False,Never
40-64,male,20-29y,university,middle class,0.515934502,after 2015,False,True,13000.0,0,0,2,False,Rarely
26-39,male,10-19y,university,upper class,0.795556821,before 2015,False,False,17000.0,0,0,1,True,Rarely
26-39,male,10-19y,high school,middle class,,before 2015,False,False,10000.0,1,0,0,False,Never
16-25,male,0-9y,none,poverty,0.291217161,after 2015,False,False,15000.0,0,0,0,False,Never
16-25,female,0-9y,none,working class,0.398776787,before 2015,False,False,15000.0,0,0,0,True,Never
26-39,male,0-9y,university,upper class,0.639128158,after 2015,False,True,10000.0,0,0,0,False,Never
40-64,female,0-9y,university,middle class,0.427728514,before 2015,False,False,15000.0,0,0,0,True,Never
16-25,male,0-9y,high school,poverty,0.352411356,before 2015,False,True,11000.0,0,0,0,True,Never
40-64,female,0-9y,none,middle class,0.346014548,before 2015,True,True,6000.0,0,0,0,True,Never
26-39,female,10-19y,high school,working class,0.350068521,before 2015,False,False,17000.0,1,0,0,False,Never
40-64,male,20-29y,high school,upper class,0.626108648,after 2015,False,False,13000.0,2,0,0,False,Never
65+,male,30y+,university,upper class,0.67948384,after 2015,False,True,,1,0,2,False,Rarely
16-25,male,0-9y,none,poverty,0.248399042,before 2015,False,False,14000.0,0,0,0,True,Never
16-25,female,0-9y,high school,middle class,0.603075848,before 2015,False,True,,0,0,0,True,Never
26-39,female,10-19y,high school,upper class,0.702212385,before 2015,False,True,13000.0,0,0,0,False,Never
16-25,female,0-9y,high school,middle class,0.465880731,before 2015,False,False,14000.0,0,0,0,False,Never
65+,female,0-9y,university,upper class,0.544818375,after 2015,False,False,10000.0,0,0,0,True,Never
65+,female,10-19y,high school,upper class,0.734228752,after 2015,True,True,10000.0,3,0,0,False,Never
40-64,female,0-9y,university,upper class,0.865076955,after 2015,True,True,8000.0,0,0,0,False,Never
40-64,female,0-9y,university,upper class,0.675859003,before 2015,True,True,12000.0,0,0,0,True,Never
40-64,male,0-9y,university,upper class,0.608569741,after 2015,False,False,15000.0,0,0,0,False,Never
26-39,female,10-19y,university,upper class,0.63692241,after 2015,True,False,10000.0,1,0,1,False,Rarely
40-64,female,0-9y,high school,working class,0.495366409,after 2015,False,True,14000.0,0,0,0,False,Never
65+,male,30y+,high school,working class,0.347931581,before 2015,True,True,12000.0,5,1,5,False,Often
16-25,female,0-9y,university,middle class,0.614735949,before 2015,False,True,15000.0,0,0,0,True,Never
65+,male,30y+,university,upper class,0.640422754,after 2015,True,True,9000.0,3,0,7,False,Often
40-64,male,20-29y,high school,upper class,0.609253827,after 2015,True,True,11000.0,2,0,2,False,Rarely
16-25,female,0-9y,university,middle class,0.520847212,after 2015,False,True,12000.0,0,0,0,False,Never
40-64,female,0-9y,university,working class,0.379268619,before 2015,False,False,14000.0,0,0,0,False,Never
40-64,male,20-29y,high school,middle class,0.579581951,after 2015,True,True,9000.0,3,0,2,False,Rarely
40-64,male,10-19y,university,upper class,0.487012708,before 2015,True,True,10000.0,1,0,1,False,Rarely
26-39,male,10-19y,university,middle class,0.413347349,before 2015,True,True,6000.0,4,0,0,True,Never
26-39,female,10-19y,high school,middle class,0.711988805,before 2015,False,True,,1,0,0,False,Never
16-25,male,0-9y,university,upper class,0.548930133,after 2015,False,True,14000.0,0,0,0,False,Never
65+,male,30y+,university,upper class,,after 2015,True,True,10000.0,4,1,6,False,Often
40-64,male,20-29y,university,upper class,0.586918209,after 2015,True,True,6000.0,7,0,3,False,Often
40-64,male,20-29y,university,upper class,0.600024609,before 2015,False,True,,2,0,5,False,Often
65+,female,30y+,high school,upper class,0.560201942,after 2015,True,True,11000.0,3,2,2,False,Rarely
40-64,female,10-19y,high school,upper class,0.512715649,before 2015,False,True,7000.0,3,0,0,False,Never
16-25,female,0-9y,none,poverty,0.291594811,before 2015,False,True,14000.0,0,0,0,True,Never
26-39,male,10-19y,high school,working class,0.394715582,after 2015,False,True,11000.0,1,0,1,False,Rarely
40-64,female,10-19y,none,upper class,,before 2015,True,True,13000.0,0,0,2,False,Rarely
40-64,male,20-29y,high school,middle class,0.57016587,before 2015,False,False,18000.0,1,1,4,False,Often
40-64,male,0-9y,university,upper class,0.551068337,before 2015,True,True,12000.0,0,0,0,True,Never
